AuditId,PID,Manufacturer,Model,SerialNumber,Description
15021026,4421492,DELL,ST600MM0069,WFJ0AV78,2.5 Hard Drive
15021026,4421493,DELL,ST600MM0069,WFJ0AVDV,2.5 Hard Drive
15021026,4421494,DELL,ST600MM0069,WFJ02RZ9,2.5 Hard Drive
15021026,4421495,DELL,ST600MM0069,WFJ02KJF,2.5 Hard Drive
15021026,4421496,DELL,ST600MM0069,WFJ02KL8,2.5 Hard Drive
15021026,4421497,DELL,ST9500620NS,9XF0E3QW,2.5 Hard Drive
15021026,4421498,DELL,ST9500620NS,9XF0CMG8,2.5 Hard Drive
15021026,4421499,DELL,ST9500620NS,9XF08KNP,2.5 Hard Drive
15021026,4421500,DELL,ST600MM0238,W0M070R9,2.5 Hard Drive
15021026,4421501,DELL,ST600MM0238,W0M072ZL,2.5 Hard Drive
15021026,4421502,DELL,ST600MM0238,W0M06L24,2.5 Hard Drive
15021026,4421503,HP,EH0300FBQDD,6xm38hs3,2.5 Hard Drive
15021026,4421504,HP,EH0300FBQDD,6xm38hcg,2.5 Hard Drive
15021026,4421505,HP,EH0300FBQDD,6xm37htb,2.5 Hard Drive
15021026,4421506,HP,EH0300FBQDD,6xm38e49,2.5 Hard Drive
15021026,4421507,HP,EH0300FBQDD,6xm38hw4,2.5 Hard Drive
15021026,4421508,HP,EH0300FBQDD,6xm38635,2.5 Hard Drive
15021026,4421509,HP,EH0300FBQDD,6xm3805h,2.5 Hard Drive
15021026,4421510,HP,EH0300FBQDD,6xm37yz9,2.5 Hard Drive
15021026,4421511,DELL,AL15SEB060NY,19V0A1JJFQWF,2.5 Hard Drive
15021026,4421512,HP,MM1000JFJTH,W472RAKJ,2.5 Hard Drive
15021026,4421513,DELL,HUC101860CSS204,03H095TB,2.5 Hard Drive
15021026,4421514,DELL,AL14SEB060NY,77S0A28EFL3E,2.5 Hard Drive
15021026,4421515,DELL,AL14SEB060NY,77S0A38BFL3E,2.5 Hard Drive
15021026,4421516,DELL,AL14SEB060NY,77S0A2V2FL3E,2.5 Hard Drive
15021026,4421517,LENOVO,ST600MM0009,WFJ08L79,2.5 Hard Drive
